Date,Close/Last,Volume,Open,High,Low
05/27/2025,591.15,72588480,586.07,591.31,578.43
05/23/2025,579.11,76029050,575.98,581.8101,575.6
05/22/2025,583.09,70860420,582.66,586.62,581.405
05/21/2025,582.86,95197660,588.44,592.58,581.82
05/20/2025,592.85,60614490,593.09,594.05,589.6
05/19/2025,594.85,68168510,588.1,595.54,588.1
05/16/2025,594.2,76052100,591.25,594.5,589.28
05/15/2025,590.46,71268150,585.56,590.97,585.0969
05/14/2025,587.59,66283530,587.81,588.98,585.535
05/13/2025,586.84,67947230,583.41,589.08,582.84
5/12/2025,582.99,78993570,581.47,583,577.04
5/9/2025,564.34,37603430,566.48,567.5,562.7637
5/8/2025,565.06,65130790,565.24,570.31,561.7
5/7/2025,561.15,55733230,560.15,563.82,556.04
5/6/2025,558.8,48264710,557.93,563.3476,556.96
5/5/2025,563.51,38659220,562.57,566.65,561.7
5/2/2025,566.76,60717270,564.73,568.38,562.38
5/1/2025,558.47,63186150,560.37,564.0699,557.86
04/30/2025,554.54,93101460,547.57,556.52,541.52
04/29/2025,554.32,47775120,548.91,555.45,548.55
04/28/2025,550.85,47613760,551.39,553.55,545.02
04/25/2025,550.64,61119590,546.65,551.05,543.69
04/24/2025,546.69,64150420,536.715,547.43,535.4504
04/23/2025,535.42,90590660,540.43,545.43,533.88
04/22/2025,527.25,75948120,520.14,529.305,519.1925
04/21/2025,513.88,69368130,521.16,521.7,508.46
04/17/2025,526.41,79868080,527.64,531.165,523.91
04/16/2025,525.66,83484810,531.68,537.8854,520.29
04/15/2025,537.61,56892870,539.675,543.23,536.81
04/14/2025,539.12,68033990,544.05,544.28,533.86
4/11/2025,533.94,97866330,523.01,536.43,520.07
4/10/2025,524.58,162331200,532.17,533.495,509.32
4/9/2025,548.62,241867300,493.44,548.62,493.05
4/8/2025,496.48,165816600,521.86,524.98,489.16
4/7/2025,504.38,256611400,489.19,523.17,481.8
4/4/2025,505.28,217965100,523.67,525.87,505.06
4/3/2025,536.7,125986000,545.11,547.97,536.7
4/2/2025,564.52,76014540,555.05,567.42,554.81
4/1/2025,560.97,54609640,557.45,562.94,553.68
03/31/2025,559.39,95328210,549.83,560.7112,546.87
03/28/2025,555.66,71662650,565.53,566.2675,555.07
03/27/2025,567.08,42164250,567.18,570.9,564.94
03/26/2025,568.59,52228900,575.19,576.33,567.19
03/25/2025,575.46,38355740,575.3,576.41,573.69
03/24/2025,574.08,58766800,570.8,575.15,570.2
03/21/2025,563.98,83762960,559.28,564.89,558.03
03/20/2025,565.49,62958200,563.33,570.57,562.6012
03/19/2025,567.13,66555990,562.83,570.95,561.63
03/18/2025,561.02,66041420,564.8,565.02,559.06
03/17/2025,567.15,49008710,562.79,569.71,562.35
03/14/2025,562.81,62660320,556.11,563.83,551.4917
03/13/2025,551.42,74079410,558.49,559.105,549.68
3/12/2025,558.87,69588170,562.17,563.11,553.69
3/11/2025,555.92,88102110,559.4,564.02,552.02
3/10/2025,560.58,99326620,567.59,569.54,555.59
3/7/2025,575.92,81158820,570.9,577.39,565.63
3/6/2025,572.71,80094870,575.48,580.1736,570.12
3/5/2025,583.06,71230530,576.69,584.88,573.0795
3/4/2025,576.86,109648200,579.71,585.39,572.25
3/3/2025,583.77,74249200,596.18,597.34,579.9
02/28/2025,594.18,88744110,585.56,594.72,582.44
02/27/2025,585.05,74196660,596.85,598.02,584.65
02/26/2025,594.54,43321580,595.93,599.58,591.8556
02/25/2025,594.24,58266470,597.15,597.89,589.56
02/24/2025,597.21,50737210,602.02,603.03,596.49
02/21/2025,599.94,76519820,610.16,610.3,599.47
02/20/2025,610.38,36554000,611.54,611.684,607.02
02/19/2025,612.93,31011070,610.08,613.23,609.56
02/18/2025,611.49,26749030,610.88,611.49,608.38
02/14/2025,609.7,26910450,609.94,610.99,609.07
02/13/2025,609.73,40921300,604.48,609.94,603.2
2/12/2025,603.36,45076080,599.2,604.55,598.51
2/11/2025,605.31,30056740,602.55,605.86,602.43
2/10/2025,604.85,26048710,604.03,605.4999,602.74
2/7/2025,600.77,50788520,606.89,608.13,600.05
2/6/2025,606.32,35771500,605.99,606.4525,602.63
2/5/2025,604.22,30653150,600.64,604.37,598.58
2/4/2025,601.78,33457820,597.83,602.3,597.28
2/3/2025,597.77,65857250,592.67,600.29,590.49
01/31/2025,601.82,66671470,607.5,609.96,601.05
01/30/2025,605.04,39281260,603.96,606.6,600.715
01/29/2025,601.81,37177430,603.72,604.13,599.22
01/28/2025,604.52,44433320,600.62,605.37,597.25
01/27/2025,599.37,70361130,594.81,599.69,594.64
01/24/2025,607.97,34604690,609.81,610.78,606.8
01/23/2025,609.75,41152100,605.8,609.75,605.52
01/22/2025,606.44,48195970,605.92,607.82,605.36
01/21/2025,603.05,42532850,600.67,603.06,598.67
01/17/2025,597.58,58070630,596.96,599.36,595.61
01/16/2025,591.64,43319660,594.175,594.35,590.93
01/15/2025,592.78,56900160,590.325,593.94,589.195
01/14/2025,582.19,48420580,584.36,585,578.35
01/13/2025,581.39,47910060,575.77,581.75,575.35
1/10/2025,580.49,73105050,585.88,585.95,578.55
1/8/2025,589.49,47304670,588.7,590.5799,585.195
1/7/2025,588.63,60393050,597.42,597.75,586.78
1/6/2025,595.36,47679440,596.27,599.7,593.6
1/3/2025,591.95,37888460,587.53,592.6,586.43
1/2/2025,584.64,50203980,589.39,591.13,580.5
12/31/2024,586.08,57052650,589.905,590.6399,584.42
12/30/2024,588.22,56578760,587.89,591.74,584.41
12/27/2024,595.01,64969310,597.54,597.7761,590.7647
12/26/2024,601.34,41338890,599.5,602.48,598.0825
12/24/2024,601.3,33160100,596.06,601.34,595.47
12/23/2024,594.69,57635830,590.89,595.3,587.661
12/20/2024,591.15,125716700,581.77,595.75,580.91
12/19/2024,586.1,85919450,591.36,593,585.85
12/18/2024,586.28,108248700,603.98,606.405,585.89
12/17/2024,604.29,55773550,604.19,605.17,602.885
12/16/2024,606.79,43695180,606,607.7795,605.21
12/13/2024,604.21,35904730,606.4,607.13,602.81
12/12/2024,604.33,31543810,606.58,607.16,604.33
12/11/2024,607.46,28677720,605.78,608.435,605.5
12/10/2024,602.8,37234520,605.37,605.8,602.13
12/9/2024,604.68,34742740,607.69,607.86,604.08
12/6/2024,607.81,31241550,607.44,609.07,607.02
12/5/2024,606.66,28762180,607.66,608.48,606.305
12/4/2024,607.66,42787560,605.63,607.91,604.95
12/3/2024,603.91,26906630,603.39,604.16,602.341
12/2/2024,603.63,31745990,602.97,604.32,602.47
11/29/2024,602.55,30177350,599.66,603.35,599.3805
11/27/2024,598.83,34000160,600.46,600.85,597.28
11/26/2024,600.65,45621290,598.8,601.33,598.07
11/25/2024,597.53,42441390,599.52,600.86,595.2
11/22/2024,595.51,38226390,593.66,596.15,593.1525
11/21/2024,593.67,46750290,593.4,595.12,587.45
11/20/2024,590.5,50032580,590.38,590.79,584.63
11/19/2024,590.3,49412050,584.71,591.045,584.03
11/18/2024,588.15,37084080,586.22,589.49,585.34
11/15/2024,585.75,75988770,589.72,590.2,583.86
11/14/2024,593.35,38904110,597.32,597.81,592.65
11/13/2024,597.19,47388640,597.37,599.23,594.96
11/12/2024,596.9,43006130,598.68,599.29,594.37
11/11/2024,598.76,37586770,599.81,600.17,597
11/8/2024,598.19,46444890,596.17,599.64,596.165
11/7/2024,595.61,47233210,593.08,596.65,592.9999
11/6/2024,591.04,68181970,589.2,591.93,585.39
11/5/2024,576.7,39478320,570.74,576.74,570.52
11/4/2024,569.81,38216980,571.18,572.5,567.89
11/1/2024,571.04,45667530,571.32,575.55,570.62
10/31/2024,568.64,60182450,575.56,575.63,568.44
10/30/2024,580.01,41435840,581.29,583.32,579.29
10/29/2024,581.77,42899660,579.85,582.907,578.43
10/28/2024,580.83,30174700,582.58,582.71,580.52
10/25/2024,579.04,47268180,581.51,584.46,578.08
10/24/2024,579.24,34979860,579.98,580.06,576.57
10/23/2024,577.99,49314570,581.26,581.7086,574.415
10/22/2024,583.32,34183840,581.05,584.5,580.38
10/21/2024,583.63,36439010,583.85,584.85,580.6001
10/18/2024,584.59,37416800,584.07,585.39,582.58
10/17/2024,582.35,34393710,585.91,586.12,582.16
10/16/2024,582.3,30725440,579.78,582.83,578.96
10/15/2024,579.78,54203640,584.59,584.9,578.545
10/14/2024,584.32,36217220,581.22,585.27,580.73
10/11/2024,579.58,42267990,576.05,580.33,575.91
10/10/2024,576.13,44138060,575.77,577.58,574.49
10/9/2024,577.14,37912240,573.16,577.71,572.55
10/8/2024,573.17,37398690,570.42,573.78,569.5299
10/7/2024,567.8,49964690,571.3,571.9599,566.63
10/4/2024,572.98,43005190,572.35,573.36,568.1
10/3/2024,567.82,40846470,567.36,569.8025,565.49
10/2/2024,568.86,38097800,567.71,569.9,565.27
10/1/2024,568.62,72668780,573.4,574.0622,566
09/30/2024,573.76,63655450,570.42,574.38,568.08
09/27/2024,571.47,42100930,573.39,574.22,570.42
09/26/2024,572.3,48336000,574.38,574.71,569.9
